i,gender,ht
1,1,159.9
2,2,157.5
3,2,158
4,2,154.2
5,1,163.3
6,2,158
7,1,172.3
8,2,162.8
9,1,171.2
10,1,168.6
11,1,170.2
12,2,151.1
13,2,153.1
14,1,153.3
15,1,168.3
16,2,156
17,2,153.3
18,1,169.7
19,1,174.6
20,1,165.5
21,2,150.4
22,1,166.4
23,2,160.2
24,1,167.8
25,2,149
26,1,163.1
27,2,151.7
28,2,150.3
29,2,153.3
30,2,146.9
31,1,163
32,2,164.2
33,1,183
34,1,167.7
35,2,158.9
36,1,168.4
37,2,163.3
38,1,164.9
39,2,167.8
40,1,167.3
41,2,153.2
42,1,159.8
43,2,151.5
44,1,176.4
45,2,159.4
46,2,155.5
47,1,172.2
48,1,169.3
49,2,155.7
50,2,154
51,1,164.3
52,2,158.7
53,1,174.8
54,2,157.8
55,2,152.4
56,2,158
57,1,170
58,2,155.6
59,1,157.8
60,2,158.1
61,2,164.2
62,2,154
63,1,165.7
64,2,162.3
65,1,171.3
66,2,162.8
67,1,162.4
68,2,154.5
69,1,171.1
70,1,176.3
71,2,156.8
72,1,164.4
73,2,150.8
74,2,156.1
75,2,159.7
76,1,170.3
77,1,166.1
78,2,160.6
79,1,166.8
80,2,162.1
81,1,169.4
82,2,155.1
83,1,176.4
84,2,159
85,1,181.4
86,2,162
87,2,160.2
88,1,173.8
89,2,154.8
90,2,160.5
91,2,164.2
92,2,162
93,2,147.2
94,2,165
95,2,160.8
96,2,151.1
97,1,157.6
98,2,149.9
99,1,163
100,2,156.5
101,1,178.6
102,2,152.1
103,2,150.6
104,2,159.3
105,1,174.9
106,2,155.7
107,2,164.7
108,1,164.4
109,2,156.8
110,1,171.4
111,2,150.9
112,1,159.5
113,2,152.9
114,2,152.8
115,1,158.2
116,1,159.6
117,2,152.7
118,1,173.4
119,2,157.7
120,2,151
121,1,178.7
122,2,166.1
123,2,154.2
124,1,169.9
125,1,166.8
126,2,154.5
127,2,159
128,1,172.4
129,2,145.3
130,1,167.6
131,2,148.6
132,2,154.6
133,1,164.4
134,2,160.7
135,1,167.1
136,2,157.3
137,2,155.7
138,2,150
139,1,157.2
140,1,167.1
141,1,159.8
142,2,149.3
143,2,155.9
144,1,176.4
145,2,150.4
146,1,185.4
147,1,161.1
148,2,148.9
149,1,169.4
150,2,155.4
151,1,167.3
152,2,147.9
153,1,168.2
154,2,155.5
155,1,157.8
156,2,149.6
157,1,165.6
158,2,160.4
159,2,161.5
160,2,165.8
161,2,150.4
162,1,170.5
163,1,162.3
164,2,167.9
165,1,162.5
166,2,154.6
167,1,176.4
168,2,161
169,2,160.4
170,1,163.2
171,2,160
172,2,156.8
173,1,168.7
174,2,154.1
175,1,165.9
176,2,156.4
177,1,173.8
178,2,148.7
179,1,162
180,1,175
181,1,164.2
182,2,156.6
183,1,163.9
184,2,145.1
185,1,161.6
186,2,150.9
187,1,155.8
188,2,143.8
189,2,153.1
190,1,180.6
191,2,155.9
192,1,168.2
193,2,157.2
194,2,148.1
195,1,167.5
196,1,166.4
197,2,159.8
198,1,153.5
199,2,164.9
200,1,167.2
201,1,165.7
202,2,157.9
203,1,160.6
204,2,157.1
205,2,149.2
206,2,161.7
207,1,167.1
208,1,162.7
209,2,154.6
210,1,165.9
211,2,151.6
212,1,170.6
213,2,154.5
214,2,160.3
215,1,168.7
216,2,158.8
217,2,150
218,1,158.8
219,2,161.6
220,2,159.4
221,2,145.4
222,1,167.8
223,2,155.4
224,1,171.9
225,2,152.3
226,1,166.3
227,2,157.2
228,1,163.8
229,2,145.8
230,1,171.6
231,2,151.3
232,1,164.6
233,2,149.1
234,1,176.1
235,1,173
236,2,154.2
237,1,174
238,2,160
239,1,156.9
240,2,159.6
241,2,151.8
242,2,107.4
243,1,178.7
244,1,165.6
245,2,148.6
246,1,164.4
247,2,152.2
248,1,168.4
249,2,163.3
250,2,158.2
251,1,174.1
252,1,171.4
253,1,170.1
254,2,156.1
255,1,172.8
256,2,158.4
257,1,166.3
258,2,151.2
259,1,174.1
260,1,176.1
261,1,171.3
262,1,171.7
263,1,172.5
264,2,152.8
265,1,169.1
266,2,165.3
267,2,161
268,1,167.8
269,2,158.2
270,1,170.2
271,2,160.1
272,1,162.3
273,2,159.2
274,1,169.5
275,2,159.5
276,1,173.2
277,1,173.5
278,2,166.5
279,1,170.5
280,2,159.1
281,1,168.4
282,2,157
283,1,170.2
284,1,167.8
285,2,163.9
286,2,170.1
287,2,166.2
